Country,Year,Variable,Value,Above Average,Location
Somalia,2014,Groundwater produced internally,3.3,0,"-13.180556, 15.266667"
South Africa,2014,Surface water produced internally,43.0,0,"-28.8166236, 24.991639"
South Africa,2014,Groundwater produced internally,4.8,0,"-28.8166236, 24.991639"
South Sudan,2014,Surface water produced internally,26.0,0,"7.8699431, 29.6667897"
South Sudan,2014,Groundwater produced internally,4.0,0,"7.8699431, 29.6667897"
Spain,2014,Surface water produced internally,109.5,0,"40.0028028, -4.003104"
Spain,2014,Groundwater produced internally,29.9,0,"40.0028028, -4.003104"
Sri Lanka,2014,Surface water produced internally,52.0,0,"7.87771365, 80.662459079089"
Sri Lanka,2014,Groundwater produced internally,7.8,0,"7.87771365, 80.662459079089"
Sudan,2014,Surface water produced internally,2.0,0,"14.5844444, 29.4917691"
Sudan,2014,Groundwater produced internally,3.0,0,"14.5844444, 29.4917691"
Suriname,2014,Surface water produced internally,99.0,0,"4.1413025, -56.0771187"
Suriname,2014,Groundwater produced internally,90.0,1,"4.1413025, -56.0771187"
Swaziland,2014,Surface water produced internally,2.64,0,"-26.5624806, 31.3991317"
Swaziland,2014,Groundwater produced internally,0.66,0,"-26.5624806, 31.3991317"
Sweden,2014,Surface water produced internally,170.0,0,"59.6749712, 14.5208584"
Sweden,2014,Groundwater produced internally,20.0,0,"59.6749712, 14.5208584"
Switzerland,2014,Surface water produced internally,40.4,0,"46.7985624, 8.2319736"
Switzerland,2014,Groundwater produced internally,2.5,0,"46.7985624, 8.2319736"
Syrian Arab Republic,2014,Surface water produced internally,4.288,0,"34.6401861, 39.0494106"
Syrian Arab Republic,2014,Groundwater produced internally,4.844,0,"34.6401861, 39.0494106"
Tajikistan,2014,Surface water produced internally,60.46,0,"38.6281733, 70.8156541"
Tajikistan,2014,Groundwater produced internally,6.0,0,"38.6281733, 70.8156541"
Thailand,2014,Surface water produced internally,213.3,0,"14.8971921, 100.83273"
Thailand,2014,Groundwater produced internally,41.9,0,"14.8971921, 100.83273"
The former Yugoslav Republic of Macedonia,2014,Surface water produced internally,5.4,0,"41.6171214, 21.7168387"
The former Yugoslav Republic of Macedonia,2014,Groundwater produced internally,0,0,"41.6171214, 21.7168387"
Timor-Leste,2014,Surface water produced internally,8.129,0,"-6.3284839, 106.9551755"
Timor-Leste,2014,Groundwater produced internally,0.886,0,"-6.3284839, 106.9551755"
Togo,2014,Surface water produced internally,10.8,0,"8.7800265, 1.0199765"
Togo,2014,Groundwater produced internally,5.7,0,"8.7800265, 1.0199765"
Trinidad and Tobago,2014,Surface water produced internally,3.74,0,"10.8677845, -60.9821067"
Trinidad and Tobago,2014,Groundwater produced internally,0.614,0,"10.8677845, -60.9821067"
Tunisia,2014,Surface water produced internally,3.1,0,"33.8439408, 9.400138"
Tunisia,2014,Groundwater produced internally,1.495,0,"33.8439408, 9.400138"
Turkey,2014,Surface water produced internally,186.0,0,"38.9597594, 34.9249653"
Turkey,2014,Groundwater produced internally,69.0,1,"38.9597594, 34.9249653"
Turkmenistan,2014,Surface water produced internally,1.0,0,"39.3763807, 59.3924609"
Turkmenistan,2014,Groundwater produced internally,0.405,0,"39.3763807, 59.3924609"
Uganda,2014,Surface water produced internally,39.0,0,"1.5333554, 32.2166578"
Uganda,2014,Groundwater produced internally,29.0,0,"1.5333554, 32.2166578"
Ukraine,2014,Surface water produced internally,50.1,0,"49.4871968, 31.2718321"
Ukraine,2014,Groundwater produced internally,22.0,0,"49.4871968, 31.2718321"
United Arab Emirates,2014,Surface water produced internally,0.15,0,"-1.2845614, 36.8138007"
United Arab Emirates,2014,Groundwater produced internally,0.12,0,"-1.2845614, 36.8138007"
United Kingdom,2014,Surface water produced internally,144.2,0,"25.2232283, 55.1594933008754"
United Kingdom,2014,Groundwater produced internally,9.8,0,"25.2232283, 55.1594933008754"
United Republic of Tanzania,2014,Surface water produced internally,80.0,0,"8.99118225, 38.79211626126"
United Republic of Tanzania,2014,Groundwater produced internally,30.0,0,"8.99118225, 38.79211626126"
United States of America,2014,Surface water produced internally,2662.0,1,"39.7837304, -100.4458825"
United States of America,2014,Groundwater produced internally,1383.0,1,"39.7837304, -100.4458825"
Uruguay,2014,Surface water produced internally,92.2,0,"-32.8755548, -56.0201525"
Uruguay,2014,Groundwater produced internally,22.9,0,"-32.8755548, -56.0201525"
Uzbekistan,2014,Surface water produced internally,9.54,0,"41.32373, 63.9528098"
Uzbekistan,2014,Groundwater produced internally,8.8,0,"41.32373, 63.9528098"
Vanuatu,2014,Surface water produced internally,10.0,0,"-16.5255069, 168.1069154"
Vanuatu,2014,Groundwater produced internally,4.377,0,"-16.5255069, 168.1069154"
Venezuela (Bolivarian Republic of),2014,Surface water produced internally,782.7,1,"52.094089, 4.2829906"
Venezuela (Bolivarian Republic of),2014,Groundwater produced internally,227.0,1,"52.094089, 4.2829906"
Viet Nam,2014,Surface water produced internally,323.0,1,"13.2904027, 108.4265113"
Viet Nam,2014,Groundwater produced internally,71.42,1,"13.2904027, 108.4265113"
Yemen,2014,Surface water produced internally,2.0,0,"16.3471243, 47.8915271"
Yemen,2014,Groundwater produced internally,1.5,0,"16.3471243, 47.8915271"
Zambia,2014,Surface water produced internally,80.2,0,"-14.5186239, 27.5599164"
Zambia,2014,Groundwater produced internally,47.0,0,"-14.5186239, 27.5599164"
Zimbabwe,2014,Surface water produced internally,11.26,0,"-18.4554963, 29.7468414"
Zimbabwe,2014,Groundwater produced internally,6.0,0,"-18.4554963, 29.7468414"
